TEST_MODE=uart_recv
================================================================
UART receive debug - monitoring S3CAM attitude frames
RX=GPIO22 TX=GPIO23 baud=115200
Format: UART_RECV,seq,pitch,roll,yaw
Packet loss: UART_LOST,start,end
================================================================
UART(2) ready.

UART_RECV,612,-0.03,-0.03,0.09
UART_RECV,613,-0.04,-0.03,0.10
UART_RECV,614,-0.04,-0.01,0.09
UART_RECV,615,-0.05,-0.02,0.10
UART_RECV,616,-0.05,-0.00,0.09
UART_RECV,617,-0.05,-0.00,0.10
UART_ERR,invalid syntax for number
UART_RECV,620,-0.03,-0.01,0.10
UART_LOST,618,619
UART_RECV,621,-0.03,-0.01,0.10
UART_RECV,622,-0.02,-0.01,0.09
UART_RECV,623,-0.02,-0.01,0.10
UART_RECV,624,-0.01,0.00,0.10
UART_RECV,625,-0.01,0.02,0.10
UART_RECV,626,0.01,0.02,0.10
UART_RECV,628,0.01,0.03,0.10
UART_LOST,627
UART_RECV,629,0.01,0.02,0.10
UART_RECV,630,0.01,0.02,0.09
UART_RECV,631,0.01,0.03,0.10
UART_RECV,632,0.02,0.02,0.10
UART_RECV,633,0.03,0.02,0.10
UART_RECV,634,0.03,0.02,0.10
UART_RECV,635,0.03,0.02,0.10
UART_RECV,636,0.03,0.01,0.10
UART_RECV,637,0.03,0.01,0.10
UART_ERR,invalid syntax for number
UART_RECV,640,0.01,0.01,0.11
UART_LOST,638,639
UART_RECV,641,0.01,-0.00,0.10
UART_RECV,642,0.01,-0.00,0.10
UART_RECV,643,-0.00,-0.01,0.10
UART_RECV,644,-0.01,-0.01,0.10
UART_RECV,645,-0.02,-0.01,0.10
UART_RECV,647,-0.03,-0.02,0.10
UART_LOST,646
UART_RECV,648,-0.03,-0.02,0.10
UART_RECV,649,-0.03,-0.02,0.10
UART_RECV,650,-0.04,-0.01,0.10
UART_RECV,651,-0.03,-0.02,0.10
